,mass,ctau_for_eps10em2,ctau_for_eps10em4,ctau_for_eps10em6,ctau_for_eps10em8,br_zdtosm
2611,26330,4.034655989791246e-12,4.034655989791246e-08,0.0004034655989791246,4.034655989791245,0.1413491943610998
2612,26340,4.032996323502669e-12,4.0329963235026684e-08,0.0004032996323502669,4.032996323502669,0.14134549137470387
2613,26350,4.0313379004736825e-12,4.031337900473683e-08,0.00040313379004736826,4.031337900473682,0.14134178834724384
2614,26360,4.02968071927163e-12,4.029680719271629e-08,0.000402968071927163,4.02968071927163,0.14133808527846195
2615,26370,4.028024778466025e-12,4.028024778466025e-08,0.00040280247784660247,4.028024778466025,0.1413343821681
2616,26380,4.026370076628527e-12,4.026370076628526e-08,0.0004026370076628527,4.026370076628527,0.1413306790158999
2617,26390,4.024716612332957e-12,4.024716612332957e-08,0.0004024716612332957,4.0247166123329565,0.14132697582160325
2618,26400,4.023064384155276e-12,4.023064384155276e-08,0.0004023064384155277,4.023064384155276,0.14132327258495153
2619,26410,4.02141201366771e-12,4.02141201366771e-08,0.00040214120136677103,4.021412013667709,0.14131952091526725
2620,26420,4.019760877659285e-12,4.0197608776592855e-08,0.0004019760877659286,4.0197608776592855,0.14131576920781588
2621,26430,4.018110974711032e-12,4.018110974711033e-08,0.00040181109747110315,4.018110974711032,0.1413120174623384
2622,26440,4.016462303406118e-12,4.016462303406117e-08,0.0004016462303406117,4.016462303406119,0.14130826567857552
2623,26450,4.0148148623298265e-12,4.014814862329826e-08,0.0004014814862329826,4.0148148623298265,0.14130451385626785
2624,26460,4.013168650069583e-12,4.013168650069583e-08,0.0004013168650069584,4.013168650069583,0.1413007619951559
2625,26470,4.0115236652149234e-12,4.011523665214924e-08,0.00040115236652149246,4.0115236652149235,0.14129701009498008
2626,26480,4.009879906357503e-12,4.009879906357503e-08,0.00040098799063575024,4.009879906357503,0.14129325815548047
2627,26490,4.008237372091093e-12,4.008237372091094e-08,0.00040082373720910937,4.008237372091093,0.1412895061763971
2628,26500,4.0065960610115726e-12,4.006596061011573e-08,0.00040065960610115737,4.006596061011574,0.14128575415746986
